accession,subseries,n_samples,n_untreated,n_treated,expr_rows,example_char,paired_design_likely
GSE256188,1,36,36,36,0,FBXW7KO siCT OXPT 1 | Colorectal cancer | tissue: Colorectal cancer | cell line: HCT-116 | genotype: FBXW7-/- | treatment: esiCT+Oxaliplatin 50uM | HCT-116 WT or KO for FBXW7 were transfected for 48h with esiRNAs directed against CT or HDAC4 or PROTAC #11 1µM. Cells were treated or not for the last 24h with OxPt (50 µM). | esiCT+Oxaliplatin 50uM  ///  FBXW7KO siCT OXPT 2 | Colorectal cancer | tissue: Colorectal cancer | cell line: HCT-116 | genotype: FBXW7-/- | treatment: esiCT+Oxaliplatin 50uM | HCT-116 WT or KO for FBXW7 were transfected for 48h with esiRNAs directed against CT or HDAC4 or PROTAC #11 1µM. Cells were treated or not for the last 24h with OxPt (50 µM). | esiCT+Oxaliplatin 50uM  ///  FBXW7KO siCT OXPT 3 | Colorectal cancer | tissue: Colorectal cancer | cell line: HCT-116 | genotype: FBXW7-/- | treatment: esiCT+Oxaliplatin 50uM | HCT-116 WT or KO for FBXW7 were transfected for 48h with esiRNAs directed against CT or HDAC4 or PROTAC #11 1µM. Cells were treated or not for the last 24h with OxPt (50 µM). | esiCT+Oxaliplatin 50uM,TRUE
GSE294953,1,28,28,28,54675,D007T01_p33_DMSO_0Gy_1 | patient derived cancer organoids | tissue: colorectal cancer | Organoids were radiated with 4 Gy or left untreated. Some organoid samples had additionally been treated with DMSO.  ///  D007T01_p33_DMSO_4Gy_1 | patient derived cancer organoids | tissue: colorectal cancer | Organoids were radiated with 4 Gy or left untreated. Some organoid samples had additionally been treated with DMSO.  ///  D007T01_p34_DMSO_0Gy_1 | patient derived cancer organoids | tissue: colorectal cancer | Organoids were radiated with 4 Gy or left untreated. Some organoid samples had additionally been treated with DMSO.,TRUE
GSE256187,1,20,20,20,0,H3K27ac WT SICT UNT | Colorectal cancer | tissue: Colorectal cancer | cell line: HCT-116 | genotype: wt | treatment: Untreated | HCT-116 WT or KO for FBXW7 were transfected for 48h with esiRNAs directed against CT or HDAC4. Cells were treated or not for the last 24h with OxPt (50 µM). | Untreated  ///  H3K27ac WT SICT OXPT | Colorectal cancer | tissue: Colorectal cancer | cell line: HCT-116 | genotype: wt | treatment: Oxaliplatin 50uM | HCT-116 WT or KO for FBXW7 were transfected for 48h with esiRNAs directed against CT or HDAC4. Cells were treated or not for the last 24h with OxPt (50 µM). | Oxaliplatin 50uM  ///  H3K27ac WT SIHDAC4 UNT | Colorectal cancer | tissue: Colorectal cancer | cell line: HCT-116 | genotype: wt | treatment: Untreated | HCT-116 WT or KO for FBXW7 were transfected for 48h with esiRNAs directed against CT or HDAC4. Cells were treated or not for the last 24h with OxPt (50 µM). | Untreated,TRUE
GSE155354,1,14,6,14,0,5CT1: Untreated patient-derived organoid rep1 | Untreated patient-derived organoid rep1 | patient-derived organoid: PDO5 | origin: colorectal tumor | treatment: untreated | cell type: organoid | untreated  ///  5CT2: Untreated patient-derived organoid rep2 | Untreated patient-derived organoid rep2 | patient-derived organoid: PDO5 | origin: colorectal tumor | treatment: untreated | cell type: organoid | untreated  ///  5201: Treated IC20 patient-derived organoid rep1 | Treated IC20 patient-derived organoid rep1 | patient-derived organoid: PDO5 | origin: colorectal tumor | treatment: treated 5-FU+Iri IC20 | cell type: organoid | treated 5-FU+Iri IC20,TRUE
GSE312098,1,12,3,12,0,"CX-1 cells, Control, 2Day, rep1 | cell line | tissue: cell line | cell line: CX-1 | cell type: CRC | treatment: Control | CX-1 cells were treated with 3μg/ml IMMU132 、3μM GSK2606414 and combanition for 48 h | Control  ///  CX-1 cells, Control, 2Day, rep2 | cell line | tissue: cell line | cell line: CX-1 | cell type: CRC | treatment: Control | CX-1 cells were treated with 3μg/ml IMMU132 、3μM GSK2606414 and combanition for 48 h | Control  ///  CX-1 cells, Control, 2Day, rep3 | cell line | tissue: cell line | cell line: CX-1 | cell type: CRC | treatment: Control | CX-1 cells were treated with 3μg/ml IMMU132 、3μM GSK2606414 and combanition for 48 h | Control",TRUE
GSE270840,1,10,10,10,0,"H3K27ac in PDM96 UNT | Colorectal cancer patient's derived organoid | tissue: Colorectal cancer patient's derived organoid | cell line: PDM-96 | cell type: patient's derived CRC organoid | genotype: 46, XX | treatment: Untreated | Untreated: DMSO; OxPt: DMSO 48h, last 24h with OxPt 50 µM; OxPt + #11: Protac compound #11 1 µM for 48h, last 24h with OxPt 50 µM; OxPt + Tsq: Tsq 1 µM for 48h, last 24h with OxPt 50 µM | Untreated  ///  H3K27ac in PDM96 OxPt | Colorectal cancer patient's derived organoid | tissue: Colorectal cancer patient's derived organoid | cell line: PDM-96 | cell type: patient's derived CRC organoid | genotype: 46, XX | treatment: OxPt | Untreated: DMSO; OxPt: DMSO 48h, last 24h with OxPt 50 µM; OxPt + #11: Protac compound #11 1 µM for 48h, last 24h with OxPt 50 µM; OxPt + Tsq: Tsq 1 µM for 48h, last 24h with OxPt 50 µM | OxPt  ///  H3K27ac in PDM96 OxPt+#11 | Colorectal cancer patient's derived organoid | tissue: Colorectal cancer patient's derived organoid | cell line: PDM-96 | cell type: patient's derived CRC organoid | genotype: 46, XX | treatment: OxPt + #11 | Untreated: DMSO; OxPt: DMSO 48h, last 24h with OxPt 50 µM; OxPt + #11: Protac compound #11 1 µM for 48h, last 24h with OxPt 50 µM; OxPt + Tsq: Tsq 1 µM for 48h, last 24h with OxPt 50 µM | OxPt + #11",TRUE
GSE160089,1,8,2,8,0,DMSO-1 | colorectal adenocarcinoma cell lines | cell line: DLD1 | agent: DMSO | DLD1 cells were plated into 6-well plate 20 h before treated with oxaliplatin and volasertib.  ///  Vola-2 | colorectal adenocarcinoma cell lines | cell line: DLD1 | agent: Vola | DLD1 cells were plated into 6-well plate 20 h before treated with oxaliplatin and volasertib.  ///  OXA-1 | colorectal adenocarcinoma cell lines | cell line: DLD1 | agent: OXA | DLD1 cells were plated into 6-well plate 20 h before treated with oxaliplatin and volasertib.,TRUE
GSE184125,1,6,3,6,0,TO Patient1 9-ING-41 rep1 | Colorectal tumor organoids | treatment: 9-ING-41 | kras: Mutated (G12D) | type: Colorectal tumor organoids | Tumor organoids were treated with 2uM of 9-ING-41 for 24 hours. | 9-ING-41  ///  TO Patient1 9-ING-41 rep2 | Colorectal tumor organoids | treatment: 9-ING-41 | kras: Mutated (G12D) | type: Colorectal tumor organoids | Tumor organoids were treated with 2uM of 9-ING-41 for 24 hours. | 9-ING-41  ///  TO Patient1 9-ING-41 rep3 | Colorectal tumor organoids | treatment: 9-ING-41 | kras: Mutated (G12D) | type: Colorectal tumor organoids | Tumor organoids were treated with 2uM of 9-ING-41 for 24 hours. | 9-ING-41,TRUE
GSE204805,1,1225,0,0,0,"CRC0014LMX0B02202TUMR01000, LMX_BASALE, bio rep 1, QC ok | Colorectal Cancer | tissue: Colorectal Cancer | cell line: X | cell type: LM | genotype: WT | treatment: NA | Please check the linked publication | NA  ///  CRC0017LMX0A02204TUMR02000, LMX_BASALE, bio rep 1, QC ok | Colorectal Cancer | tissue: Colorectal Cancer | cell line: X | cell type: LM | genotype: WT | treatment: NA | Please check the linked publication | NA  ///  CRC0018LMO0B02004001R01000, LMO_BASALE, bio rep 1, QC ok | Colorectal Cancer | tissue: Colorectal Cancer | cell line: O | cell type: LM | genotype: WT | treatment: NA | Please check the linked publication | NA",FALSE
GSE190826,1,117,0,117,0,"GSH_RADONC_RectalCancer_001 | RCA_001 | time: Pre-CRT | cancer type: Rectal cancer | treatment response pcr vs. non-pcr: Non-pCR | treatment: 50,4 + 5-FU | disease free survival event: 0 | disease free survival time (months): 33 | FFPE material of Patients with advanced rectal cancer treated with neoadjuvant chemoradiotherapy | Non-pCR | 50,4 + 5-FU  ///  GSH_RADONC_RectalCancer_002 | RCA_002 | time: Pre-CRT | cancer type: Rectal cancer | treatment response pcr vs. non-pcr: Non-pCR | treatment: 50,4 + 5-FU | disease free survival event: 0 | disease free survival time (months): 68 | FFPE material of Patients with advanced rectal cancer treated with neoadjuvant chemoradiotherapy | Non-pCR | 50,4 + 5-FU  ///  GSH_RADONC_RectalCancer_003 | RCA_003 | time: Pre-CRT | cancer type: Rectal cancer | treatment response pcr vs. non-pcr: Non-pCR | treatment: 50,4 + 5-FU/Ox | disease free survival event: n.a. | disease free survival time (months): n.a. | FFPE material of Patients with advanced rectal cancer treated with neoadjuvant chemoradiotherapy | Non-pCR | 50,4 + 5-FU/Ox",FALSE
GSE190609,1,113,0,0,0,WAS2425A | peritoneal metastasis | patient: 1 | tnmstage: T4N2M1 | location primary tumor: coecum | differentiation grade: moderate | driver_mutation: BRAF  ///  WAS2425B | peritoneal metastasis | patient: 1 | tnmstage: T4N2M1 | location primary tumor: coecum | differentiation grade: moderate | driver_mutation: BRAF  ///  WAS2425C | peritoneal metastasis | patient: 1 | tnmstage: T4N2M1 | location primary tumor: coecum | differentiation grade: moderate | driver_mutation: BRAF,FALSE
GSE305337,1,73,0,0,0,"Healthy colon cells, Patient A sample 1 | Colon | tissue: Colon  ///  Healthy colon cells, Patient A sample 2 | Colon | tissue: Colon  ///  Tumor colon cells, Patient A sample 1 | Colon | tissue: Colon",FALSE
GSE292601,1,62,0,62,0,CRC561ORG | rectum | tissue: rectum | cell line: CRC561ORG | cell type: Patient-derived tumor organoids | passage: P11 | sequencing batch: B22514 | Patient-derived tumor organoids were not treated prior to RNA isolation  ///  CRC997ORG | rectum | tissue: rectum | cell line: CRC997ORG | cell type: Patient-derived tumor organoids | passage: P10 | sequencing batch: B22597 | Patient-derived tumor organoids were not treated prior to RNA isolation  ///  CRC321ORG | rectum | tissue: rectum | cell line: CRC321ORG | cell type: Patient-derived tumor organoids | passage: P7 | sequencing batch: B22514 | Patient-derived tumor organoids were not treated prior to RNA isolation,FALSE
GSE282048,2,30,0,0,0,Pt28_sphere_1 | colorectal cancer | tissue: colorectal cancer  ///  Pt28_sphere_2 | colorectal cancer | tissue: colorectal cancer  ///  Pt30_sphere_1 | colorectal cancer | tissue: colorectal cancer,FALSE
GSE147971,1,17,0,0,0,"metastatic CRC peritoneal lesion, 1 | Colorectal cancer (CRC) | anatomical_sites: peritoneum | metastasis: metastatic  ///  metastatic CRC peritoneal lesion, 2 | Colorectal cancer (CRC) | anatomical_sites: peritoneum | metastasis: metastatic  ///  metastatic CRC peritoneal lesion, 3 | Colorectal cancer (CRC) | anatomical_sites: peritoneum | metastasis: metastatic",FALSE
GSE244082,1,14,0,0,0,P36 | colorectal cancer | tissue: colorectal cancer | cell line: organoids | cell type: cancer stem cell  ///  P37 | colorectal cancer | tissue: colorectal cancer | cell line: organoids | cell type: cancer stem cell  ///  P8 | colorectal cancer | tissue: colorectal cancer | cell line: organoids | cell type: cancer stem cell,FALSE
GSE294639,1,12,0,0,0,"HCT8, wild-type (shCTRL), 1 | HCT8 | cell line: HCT8 | cell type: human colorectal carcinoma cell line | genotype: WT | treatment: none | Cells were grown to sub-confluence in standard culture conditions. For experimental analyses, wild-type HCT8 cells and PHGDH-silenced HCT8 clones were harvested in their basal state without additional treatment. Total RNA was extracted using the RNeasy Plus Mini Kit (Qiagen) according to the manufacturer's instructions. RNA quality and quantity were assessed using a NanoDrop Microvolume Spectrophotometer and Fluorometer prior to library preparation for RNA-sequencing. | none  ///  HCT8, wild-type (shCTRL), 2 | HCT8 | cell line: HCT8 | cell type: human colorectal carcinoma cell line | genotype: WT | treatment: none | Cells were grown to sub-confluence in standard culture conditions. For experimental analyses, wild-type HCT8 cells and PHGDH-silenced HCT8 clones were harvested in their basal state without additional treatment. Total RNA was extracted using the RNeasy Plus Mini Kit (Qiagen) according to the manufacturer's instructions. RNA quality and quantity were assessed using a NanoDrop Microvolume Spectrophotometer and Fluorometer prior to library preparation for RNA-sequencing. | none  ///  HCT8, wild-type (shCTRL), 3 | HCT8 | cell line: HCT8 | cell type: human colorectal carcinoma cell line | genotype: WT | treatment: none | Cells were grown to sub-confluence in standard culture conditions. For experimental analyses, wild-type HCT8 cells and PHGDH-silenced HCT8 clones were harvested in their basal state without additional treatment. Total RNA was extracted using the RNeasy Plus Mini Kit (Qiagen) according to the manufacturer's instructions. RNA quality and quantity were assessed using a NanoDrop Microvolume Spectrophotometer and Fluorometer prior to library preparation for RNA-sequencing. | none",FALSE
GSE311016,1,10,5,0,0,"PDX-36, Control, 29Day, rep1 | tumor | tissue: tumor | cell type: CRC | treatment: Control | Mice harboring CRC patient-derived xenograft (PDX) tumors were administered IMMU132 at a dose of 10 mg/kg via intravenous injection once per week for three weeks | Control  ///  PDX-82, Control, 29Day, rep2 | tumor | tissue: tumor | cell type: CRC | treatment: Control | Mice harboring CRC patient-derived xenograft (PDX) tumors were administered IMMU132 at a dose of 10 mg/kg via intravenous injection once per week for three weeks | Control  ///  PDX-83, Control, 29Day, rep3 | tumor | tissue: tumor | cell type: CRC | treatment: Control | Mice harboring CRC patient-derived xenograft (PDX) tumors were administered IMMU132 at a dose of 10 mg/kg via intravenous injection once per week for three weeks | Control",FALSE
GSE315569,1,8,0,4,0,HCT116_5FU_01 | HCT116 | cell line: HCT116 | cell type: colon cancer | treatment: 5-FU | 5-FU  ///  HCT116_5FU_02 | HCT116 | cell line: HCT116 | cell type: colon cancer | treatment: 5-FU | 5-FU  ///  HCT116_AFZC_01 | HCT116 | cell line: HCT116 | cell type: colon cancer | treatment: AFZC | AFZC,FALSE
GSE276573,1,6,0,0,0,1_d- | HCT116 cells | cell line: HCT116 cells  ///  2_d- | HCT116 cells | cell line: HCT116 cells  ///  3_d- | HCT116 cells | cell line: HCT116 cells,FALSE
GSE282048,1,2,0,0,0,Pt30_T_1 | colorectal cancer | tissue: colorectal cancer  ///  Pt30_T_2 | colorectal cancer | tissue: colorectal cancer,FALSE
